% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "43"
% phi1    Phi     phi2    value
9.998540 29.621719 22.918539 0.000000
311.083496 47.688141 72.025467 0.000000
149.819412 25.306881 210.515778 0.000000
7.946150 30.590731 16.035130 0.000000
332.736969 37.906300 352.046936 1816.000000
302.596252 49.962360 40.639500 0.000000
119.536697 46.106350 218.019455 0.000000
142.444427 54.956520 235.707291 1484.000000
209.908859 47.909538 147.305359 1519.000000
329.342224 24.708370 12.642830 2446.000000
64.224548 14.551880 274.502167 0.000000
76.710342 11.217010 241.330399 0.000000
102.057747 39.821701 301.750153 0.000000
25.481260 33.370251 298.966522 0.000000
310.475220 33.594269 15.699040 0.000000
61.835999 27.822229 284.388977 0.000000
150.104156 23.775600 216.956787 0.000000
198.230835 44.943501 120.740929 0.000000
261.659485 32.448872 91.005882 0.000000
53.990719 14.620270 304.041412 0.000000
280.281891 47.183849 57.161140 2921.000000
189.489517 11.552050 171.097107 380.000000
37.663250 42.191650 310.655609 127.000000
137.662674 49.738499 238.121902 0.000000
30.983360 6.958680 323.188568 2801.000000
90.643730 21.147650 301.200592 0.000000
186.785172 42.373402 131.599136 0.000000
328.534515 46.271900 22.264820 0.000000
194.233734 31.069981 125.680183 0.000000
166.242783 40.098801 210.201981 0.000000
14.071090 27.817511 321.624146 0.000000
350.163879 24.985620 344.031128 143.000000
164.602127 23.448931 175.802155 0.000000
234.616806 49.483101 131.155640 2376.000000
310.163696 55.771500 47.716801 279.000000
184.581238 16.059771 207.807434 1708.000000
157.948669 40.940121 222.428574 0.000000
88.818779 41.448830 276.186523 0.000000
303.981262 37.175129 82.206703 0.000000
43.623550 50.713520 300.991852 2276.000000
173.727615 12.385150 205.596344 328.000000
194.240616 35.437450 174.847519 0.000000
164.607513 28.311331 238.561920 0.000000
268.824921 13.712020 81.247833 2524.000000
280.924866 30.254271 95.295509 0.000000
135.660690 28.849840 193.439545 2205.000000
82.124161 16.817080 269.010773 0.000000
213.207214 6.181070 160.658661 1738.000000
