% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "43"
% phi1    Phi     phi2    value
278.044739 35.048512 94.204018 0.000000
143.161774 43.992729 198.248856 0.000000
208.810974 38.920479 184.129395 0.000000
264.884003 38.131531 126.829643 0.000000
293.781799 17.344980 43.700588 1274.000000
355.490936 41.878078 322.806305 0.000000
159.122345 24.626289 188.582184 2981.000000
221.661499 30.064791 178.721344 1550.000000
268.647308 12.275460 106.683159 46.000000
290.306885 19.056370 114.291519 1428.000000
121.838593 26.318001 257.459808 0.000000
313.112518 23.136520 66.060501 0.000000
95.436668 8.139570 229.757477 0.000000
242.748093 45.185101 100.096321 0.000000
181.581619 43.539841 180.286758 58.000000
13.727880 44.489639 329.538757 0.000000
270.096405 9.737470 112.793221 0.000000
172.632050 21.504841 187.214966 0.000000
180.583145 40.876919 143.026581 0.000000
202.995071 19.699720 195.606796 0.000000
298.155548 13.746620 87.723602 454.000000
330.846710 47.430439 49.559559 0.000000
197.911865 22.159470 197.505234 0.000000
209.274445 55.519119 129.165817 0.000000
245.354034 31.341850 130.632263 0.000000
9.075550 42.564838 332.990204 809.000000
46.474480 47.716862 297.499420 2652.000000
226.712372 19.765490 119.287010 79.000000
169.623413 42.344391 160.847336 0.000000
325.927765 32.502022 5.596600 90.000000
121.974602 18.769421 223.151154 0.000000
99.122711 9.246750 222.009903 1457.000000
117.394417 25.451969 240.690369 0.000000
38.574539 45.093941 338.565643 0.000000
266.868744 28.105780 123.058006 0.000000
115.962540 31.490490 277.089050 0.000000
325.416687 11.530700 34.889889 0.000000
37.040390 35.532162 291.594238 0.000000
35.096981 9.259760 347.469543 0.000000
160.853790 14.309670 225.255447 0.000000
228.575500 15.436170 113.622101 0.000000
111.294792 9.013980 275.546692 0.000000
172.736984 26.705959 222.236481 0.000000
234.567963 42.903118 151.265213 0.000000
339.638489 29.496401 46.038139 0.000000
289.417816 45.460972 46.138680 0.000000
291.147217 29.738840 30.432470 0.000000
234.612717 40.557091 101.553581 0.000000
230.953186 51.313381 152.699753 0.000000
67.465843 34.771591 273.406372 0.000000
152.312424 51.119541 240.186615 0.000000
25.519720 42.082809 294.971954 0.000000
172.283875 46.152481 211.438202 0.000000
248.088303 25.191059 136.893433 0.000000
4.775000 41.868328 333.611359 0.000000
185.739426 30.918240 161.414780 0.000000
80.022682 20.048630 279.952271 0.000000
135.366348 52.844021 217.785309 0.000000
247.335434 26.913980 87.636543 0.000000
271.776306 20.758480 116.133972 0.000000
45.145370 47.909168 348.968506 0.000000
133.382721 11.510180 254.813477 0.000000
16.738119 30.733770 4.796560 0.000000
155.200974 22.455299 171.250336 0.000000
134.364288 46.598591 248.421951 0.000000
30.087761 39.583530 289.888306 0.000000
27.663509 18.408510 289.064880 0.000000
71.718201 42.163528 266.729950 0.000000
138.956100 5.084440 253.130386 0.000000
357.224854 28.934980 344.640808 0.000000
1.812580 11.099250 356.823395 0.000000
12.152770 47.917992 314.122375 0.000000
293.383484 22.254749 81.763489 0.000000
105.939194 19.684040 229.647995 0.000000
279.923096 19.500610 86.015099 0.000000
196.234818 11.435820 150.836533 0.000000
203.169662 34.641548 149.967987 0.000000
261.509552 22.930281 112.185921 0.000000
7.322460 23.082310 333.601898 0.000000
231.483047 32.746429 87.553040 0.000000
321.544556 21.216940 49.681450 0.000000
246.632614 31.209641 86.355782 0.000000
85.758041 43.425659 262.635529 0.000000
340.795654 34.747841 24.879660 0.000000
344.823029 38.331650 16.473869 0.000000
9.946430 39.356548 350.915009 0.000000
264.487915 43.043961 132.142349 0.000000
59.814079 56.557011 322.701172 0.000000
259.143066 32.433159 126.315033 0.000000
0.711750 37.680099 317.324585 0.000000
123.723022 58.034679 217.807953 0.000000
154.775742 41.803200 180.396088 0.000000
161.371826 3.218230 199.178986 0.000000
33.165112 35.610790 324.465149 0.000000
123.486259 40.239719 275.951508 0.000000
21.067120 34.993740 320.232880 0.000000
189.731384 15.002460 192.741348 0.000000
7.980620 12.158400 3.054860 0.000000
110.244942 40.315590 270.590881 0.000000
326.387238 26.280050 40.257381 0.000000
74.700798 30.428890 327.950409 0.000000
55.171928 30.077070 293.486084 0.000000
193.581924 36.254459 135.803040 0.000000
67.293007 30.113630 331.606689 0.000000
249.059692 41.120449 128.435242 0.000000
221.844971 20.593081 97.671280 0.000000
270.525513 5.093510 132.422455 0.000000
95.421501 18.098690 303.692871 0.000000
14.730110 45.597980 345.713806 0.000000
215.165359 40.791962 135.013626 0.000000
313.203094 43.906620 29.479071 0.000000
335.800903 26.923071 33.107151 0.000000
238.268448 52.820869 129.799789 0.000000
34.704670 24.817680 321.985962 0.000000
84.410072 39.374760 243.451279 0.000000
47.403519 38.205608 350.918243 0.000000
267.152069 32.462521 111.475967 0.000000
298.951813 45.718712 79.770638 0.000000
266.561768 28.915590 103.645447 0.000000
164.840225 29.101900 194.751678 0.000000
139.114151 28.252230 211.332245 0.000000
68.278351 47.886829 311.364899 0.000000
50.838150 55.340698 308.597687 0.000000
152.293030 29.977100 189.920975 0.000000
221.229004 33.609119 161.143799 0.000000
259.194763 18.065359 76.890892 0.000000
342.040924 19.333839 336.588043 0.000000
261.380707 33.501640 79.927017 0.000000
234.795166 36.111259 101.067932 0.000000
194.790741 41.355221 194.236801 0.000000
36.095428 45.294071 336.783569 0.000000
105.561852 13.815780 260.041931 0.000000
211.929764 36.798340 184.491409 0.000000
195.687164 38.571941 141.630554 0.000000
122.461037 33.993271 242.219788 0.000000
158.171326 28.553160 204.256302 0.000000
177.861496 29.999950 196.551575 0.000000
181.976151 20.532619 155.887482 0.000000
163.511246 31.853880 213.108154 0.000000
132.171356 22.814301 232.298904 0.000000
126.361450 45.935490 253.252563 0.000000
328.794312 11.123250 4.463760 0.000000
111.316818 36.640160 250.140350 0.000000
175.594406 33.937050 197.889572 0.000000
38.736118 17.563299 356.712799 0.000000
308.278900 48.819721 68.641472 0.000000
117.022011 25.894661 250.520554 0.000000
34.635391 25.914900 329.256165 0.000000
126.947113 35.654160 271.676788 0.000000
275.003479 45.762020 63.829498 0.000000
33.190109 34.106560 357.535614 0.000000
230.021347 14.385020 95.399918 0.000000
304.778870 44.057320 81.228661 0.000000
10.228700 19.660330 8.069740 0.000000
219.398636 26.455589 173.767975 0.000000
18.149380 35.271950 16.271709 0.000000
215.792770 36.983631 136.006973 0.000000
126.299568 31.820959 232.224884 0.000000
329.592468 34.907890 15.067740 0.000000
72.927353 47.724060 296.878845 0.000000
264.664246 28.691700 67.054024 0.000000
30.829041 45.753578 298.859680 0.000000
24.473570 30.090179 11.472880 0.000000
26.476891 22.003540 6.073510 0.000000
67.497818 17.271509 334.002563 0.000000
287.424713 18.237150 92.320213 0.000000
311.004303 24.364100 47.985020 0.000000
318.157379 41.511372 64.622124 0.000000
151.711456 36.406101 224.788071 0.000000
274.908783 12.607890 69.784828 0.000000
170.783386 30.756189 155.508011 0.000000
342.334717 21.130711 340.069885 0.000000
175.981079 15.516080 212.396835 0.000000
168.450653 37.998951 155.094315 0.000000
41.580891 23.936069 325.209015 0.000000
120.610832 27.136129 232.233170 0.000000
296.847931 13.727030 97.625198 0.000000
114.484200 12.560800 221.200668 0.000000
273.833801 8.743280 93.803131 0.000000
105.170303 38.992901 238.872162 0.000000
85.340271 44.613609 296.846069 0.000000
319.654938 36.271969 357.120605 0.000000
31.609680 30.602970 12.121560 0.000000
168.730804 15.288050 222.898804 0.000000
34.145569 42.245190 2.514940 0.000000
67.993584 37.781582 250.308624 0.000000
146.019196 19.523390 236.439301 0.000000
278.788605 43.428612 96.074707 0.000000
185.194092 11.238790 141.357925 0.000000
351.126221 40.297642 20.962830 0.000000
300.992981 52.693241 38.712170 0.000000
124.215057 43.928398 245.745834 0.000000
25.975290 24.354530 320.265198 0.000000
258.160492 26.487940 99.097588 0.000000
2.504230 23.512779 2.883940 0.000000
137.445236 42.186520 200.315689 0.000000
60.689461 35.641579 322.397522 0.000000
128.734344 34.843479 265.796600 0.000000
343.498016 13.048200 16.374849 0.000000
180.457855 42.584801 205.885101 0.000000
341.123993 48.399281 51.510410 0.000000
31.579130 42.154560 291.685272 0.000000
84.852119 37.618011 255.002274 0.000000
31.266251 25.875811 6.441130 0.000000
275.102692 23.132311 46.652962 0.000000
233.422165 22.661730 147.851624 0.000000
216.214981 47.500019 114.800201 0.000000
0.317130 30.677071 2.049850 0.000000
202.313293 42.135319 167.864685 0.000000
255.776398 19.378160 91.095047 0.000000
321.807770 35.709679 51.715649 0.000000
328.014435 37.472820 9.249950 0.000000
51.523979 36.055351 312.202026 0.000000
162.741638 29.019011 230.441742 0.000000
39.871471 47.276272 344.860596 0.000000
298.011749 21.814070 88.697212 0.000000
85.928162 35.015179 299.284821 0.000000
256.255219 32.849480 101.846680 0.000000
58.250858 47.215149 337.671814 0.000000
96.186958 44.890141 259.227936 0.000000
89.737953 21.089899 292.438965 0.000000
51.018391 20.830940 315.890045 0.000000
328.867767 25.449360 24.040560 0.000000
112.139091 25.138399 233.470673 0.000000
328.792328 42.119709 23.127930 0.000000
152.971924 43.018650 177.666412 0.000000
0.745400 3.616810 5.848760 0.000000
219.263107 51.991619 136.551926 0.000000
111.466843 32.566921 217.081100 0.000000
8.804330 13.085320 342.162018 0.000000
231.714493 41.639858 83.584251 0.000000
31.962179 40.115711 345.905518 0.000000
36.504501 48.617249 312.981995 0.000000
161.469345 8.463210 243.420380 0.000000
151.678589 40.150951 226.891251 0.000000
24.176371 16.834021 335.693390 0.000000
160.869354 33.920300 208.063858 0.000000
82.689873 24.107170 313.794525 0.000000
177.471512 38.079601 216.032852 0.000000
120.958458 38.272282 230.444077 0.000000
51.400120 13.069460 289.097260 0.000000
142.556808 26.532669 179.486954 0.000000
222.331696 4.489990 131.602264 0.000000
250.126587 14.756530 73.115440 0.000000
102.350166 43.034180 213.884476 0.000000
136.071823 19.954340 230.899658 0.000000
317.002777 4.809470 30.625250 0.000000
230.373856 10.374430 88.140472 0.000000
305.167572 34.168491 32.225639 0.000000
184.260574 40.689129 205.761734 0.000000
64.146477 41.665581 263.571625 0.000000
291.182953 34.381142 50.872379 0.000000
125.100098 32.312099 275.921936 0.000000
357.748138 37.713120 1.140880 0.000000
8.868490 16.284140 345.905914 0.000000
231.597763 42.795021 106.661629 0.000000
23.243860 23.466881 13.425170 0.000000
290.991241 10.488110 64.928932 0.000000
355.032379 19.534410 10.073830 0.000000
308.122131 19.466890 34.127251 0.000000
241.155380 26.268190 120.035301 0.000000
73.339600 39.084881 271.047028 0.000000
200.207016 24.935789 116.012230 0.000000
197.557037 38.429771 199.539307 0.000000
339.767426 30.813259 28.183180 0.000000
154.696198 37.063511 177.227875 0.000000
0.274240 20.366461 341.442474 0.000000
293.114655 7.529570 34.295559 0.000000
304.516388 22.817499 34.312531 0.000000
16.365990 36.825680 8.299090 0.000000
265.932709 37.978069 56.130859 0.000000
69.633072 14.841400 265.102448 0.000000
119.009537 34.359692 260.992950 0.000000
16.991890 31.827789 320.942719 0.000000
339.046936 39.380051 15.758260 0.000000
254.441284 43.651100 90.478531 0.000000
33.727371 37.815380 340.325287 0.000000
19.444860 11.631040 6.476880 0.000000
70.865837 48.592491 316.784393 0.000000
324.349731 22.233540 0.333620 0.000000
303.865967 43.060349 58.540192 0.000000
98.462769 36.498348 225.331726 0.000000
18.312490 29.269480 338.722504 0.000000
212.001190 51.541908 120.596909 0.000000
163.744781 40.186401 151.406586 0.000000
232.079117 19.589861 142.536697 0.000000
147.715317 26.110979 167.424423 0.000000
157.253143 40.501438 247.201324 0.000000
353.971283 11.987410 345.596924 0.000000
169.823105 15.359730 179.900726 0.000000
192.466644 29.673361 209.059387 0.000000
169.726242 38.349281 183.272583 0.000000
178.258881 41.931728 195.591797 0.000000
131.916214 37.079460 184.370193 0.000000
337.871948 46.237331 35.905251 0.000000
213.320465 42.477200 160.559448 0.000000
323.334259 17.555210 62.724152 0.000000
257.659698 14.573550 88.711349 0.000000
308.851227 41.992611 93.187370 0.000000
308.523315 15.114020 92.095848 0.000000
10.851710 14.756030 348.725006 0.000000
306.421570 14.718310 83.412521 0.000000
232.353943 55.394199 143.869263 0.000000
129.286957 8.860720 225.217697 0.000000
292.996490 50.515862 33.142670 0.000000
28.773359 32.346691 320.033325 0.000000
263.140778 28.932690 122.578362 0.000000
320.426910 47.445179 48.438080 0.000000
297.777252 39.703640 27.303101 0.000000
210.471863 46.070980 163.429642 0.000000
250.538574 14.081170 144.519836 0.000000
280.716156 28.654900 56.907928 0.000000
143.100647 40.239620 188.443573 0.000000
304.904205 42.580029 34.197681 0.000000
299.419464 11.374910 20.042931 0.000000
11.000960 32.606380 334.509460 0.000000
179.081665 44.039680 223.127304 0.000000
116.237289 40.409161 201.067352 0.000000
257.659698 28.856569 90.960632 0.000000
48.350780 44.070381 290.522827 0.000000
130.304718 53.427551 221.399734 0.000000
121.122063 28.098619 254.473663 0.000000
124.991318 57.115662 221.026733 0.000000
27.747860 22.915621 311.572021 0.000000
290.690857 42.970810 67.538452 0.000000
21.473660 3.951490 358.300415 0.000000
137.500046 11.718290 204.821136 0.000000
103.854637 35.152660 228.532364 0.000000
319.101593 39.952370 20.335320 0.000000
344.664062 37.454159 51.258999 0.000000
260.148224 35.780369 67.335770 0.000000
93.865150 13.892450 299.969360 0.000000
48.058140 52.093182 334.814941 0.000000
130.689209 35.231911 244.928314 0.000000
147.666107 37.640690 240.841843 0.000000
8.865720 13.306660 25.758230 0.000000
325.018463 16.328030 71.303108 0.000000
91.734810 44.476639 245.192047 0.000000
159.557404 40.897739 208.467926 0.000000
58.227242 18.951160 298.478088 0.000000
160.408127 19.233891 178.376694 0.000000
209.268066 39.981239 195.663620 0.000000
172.699615 27.798170 180.994797 0.000000
182.126923 38.178360 204.472748 0.000000
190.098984 41.944729 159.010086 0.000000
28.241230 33.659420 316.121429 0.000000
47.244030 36.509708 337.070679 0.000000
311.731476 39.628571 18.649530 0.000000
210.532333 44.145489 130.702759 0.000000
314.056183 29.516081 8.510520 0.000000
43.550159 42.782558 324.795380 0.000000
170.983566 29.930799 225.826187 0.000000
223.775467 48.904140 117.531921 0.000000
321.477936 53.215778 38.641392 0.000000
146.393906 45.031979 204.047485 0.000000
315.901031 53.178082 41.083881 0.000000
320.944550 29.349501 356.576294 0.000000
343.373077 31.440460 341.857391 0.000000
336.337891 27.327110 1.826040 0.000000
101.829247 21.465111 255.752945 0.000000
83.018547 43.539341 245.587738 0.000000
267.472748 35.838928 113.704918 0.000000
247.796616 41.450619 67.779869 0.000000
29.835270 43.397209 3.286360 0.000000
107.645302 22.499540 284.687592 0.000000
280.250183 40.817459 46.328018 0.000000
45.472641 57.786251 314.077972 0.000000
93.890457 27.521570 276.230469 0.000000
324.713501 41.469238 14.581150 0.000000
291.042023 50.630451 50.100868 0.000000
294.987000 16.337049 28.773029 0.000000
125.541000 39.509071 209.601318 0.000000
145.234787 51.021969 226.764099 0.000000
104.060921 42.337799 242.025482 0.000000
138.783539 19.227591 240.311417 0.000000
280.683960 17.072170 57.026051 0.000000
258.218689 30.223270 111.001022 0.000000
122.680283 40.992908 262.282257 0.000000
185.059525 11.005070 197.504517 0.000000
151.834885 21.149380 238.292603 0.000000
12.998490 23.074120 11.099150 0.000000
187.142105 43.208591 207.936996 0.000000
190.843964 27.961470 184.788330 0.000000
182.385025 29.719259 221.073257 0.000000
318.429932 51.630539 44.455219 0.000000
245.456177 45.027081 129.934738 0.000000
317.170502 35.069031 77.175507 0.000000
220.801178 36.242641 141.688202 0.000000
282.365540 34.261509 104.068932 0.000000
225.977982 34.976830 171.000916 0.000000
116.496292 39.908710 246.773666 0.000000
354.890686 19.995199 45.638351 0.000000
49.120461 20.694189 273.629852 0.000000
50.364632 26.830940 325.942841 0.000000
151.103592 29.624781 177.659485 0.000000
78.823547 23.934170 237.009247 0.000000
257.834473 24.297430 108.474113 0.000000
145.294067 36.596062 219.591324 0.000000
37.488850 40.437931 289.983734 0.000000
87.080910 38.895721 310.892273 0.000000
299.164490 30.983170 48.093269 0.000000
66.194199 30.787470 273.596130 0.000000
153.368011 34.745029 215.148788 0.000000
107.783836 17.049049 291.995758 0.000000
16.739410 32.111641 301.320923 0.000000
153.114944 45.912830 230.161835 0.000000
174.059036 17.718380 172.247314 0.000000
173.991455 35.914558 181.193054 0.000000
177.056946 36.680321 171.996277 0.000000
309.305695 38.900341 6.443260 0.000000
336.904236 30.275909 34.656239 0.000000
78.458221 33.949299 259.758850 0.000000
97.417099 32.503571 217.602753 0.000000
291.012665 35.636269 113.697327 0.000000
191.167557 35.718700 170.655533 0.000000
247.416824 33.078571 93.748573 0.000000
14.546600 43.036678 349.600128 0.000000
225.887390 22.957581 174.924133 0.000000
103.198250 26.278820 228.879395 0.000000
258.832794 43.120289 92.187683 0.000000
314.174835 41.817539 1.300830 0.000000
212.865067 35.689880 155.294342 0.000000
213.844604 18.452681 187.791977 0.000000
36.026299 11.832670 330.438171 0.000000
13.811820 20.625059 302.350616 0.000000
158.522751 34.023682 179.605377 0.000000
75.112747 36.661179 276.449310 0.000000
71.662918 19.095369 304.126190 0.000000
274.104034 34.942661 48.208542 0.000000
354.344208 33.479279 327.264038 0.000000
98.562843 32.640171 263.867554 0.000000
233.570190 45.102879 139.821304 0.000000
269.071686 38.276821 131.729858 0.000000
182.494583 28.832741 202.613113 0.000000
132.622116 26.011560 229.848953 0.000000
315.156067 45.951279 47.109581 0.000000
237.370789 24.354610 95.937782 0.000000
310.196289 38.564320 23.747629 0.000000
128.252686 55.915771 225.321884 0.000000
181.430527 17.569050 148.472183 0.000000
315.973450 36.713951 29.529961 0.000000
115.111603 42.385159 225.226089 0.000000
137.657013 21.938290 238.147491 0.000000
149.538635 15.810550 177.935333 0.000000
351.462311 30.132410 3.960900 0.000000
0.952200 22.907301 23.313379 0.000000
256.316742 24.857559 67.976067 0.000000
238.914322 21.595360 113.118896 0.000000
14.136070 34.415611 30.216591 0.000000
276.268677 34.196419 81.747658 0.000000
229.810867 15.498600 143.275055 0.000000
79.108597 41.042671 255.036301 0.000000
24.308531 51.411819 315.036285 0.000000
232.684540 24.390989 92.053802 0.000000
338.027496 37.640701 24.911360 0.000000
189.065094 31.842331 214.940155 0.000000
299.066223 5.004140 44.324230 0.000000
196.352524 26.135740 160.533615 0.000000
127.815201 20.874889 248.799347 0.000000
204.706299 43.305389 129.851212 0.000000
290.459137 45.570831 40.950729 0.000000
52.192612 8.131450 281.929291 0.000000
314.069489 28.029520 39.886009 0.000000
207.065979 27.490980 194.622726 0.000000
266.472137 28.146891 97.257317 0.000000
62.521358 2.684750 314.479279 0.000000
72.627159 40.496819 249.551300 0.000000
306.144653 31.098110 56.950489 0.000000
278.629211 11.030570 115.225822 0.000000
162.291855 43.944721 203.689697 0.000000
291.047546 39.957249 34.109791 0.000000
278.709839 6.239020 52.587509 0.000000
331.974579 17.902620 67.763641 0.000000
26.955580 25.957211 291.318390 0.000000
240.788574 26.337099 84.777733 0.000000
317.308411 8.232960 51.566170 0.000000
27.418270 42.486401 354.020935 0.000000
245.002106 33.136059 104.287231 0.000000
206.756516 28.040010 128.023987 0.000000
298.985077 35.454350 77.028763 0.000000
134.106430 29.709370 229.938232 0.000000
215.186310 45.126930 168.318207 0.000000
227.229706 42.455849 90.618271 0.000000
279.278259 16.304390 80.899544 0.000000
63.702621 22.061600 337.136932 0.000000
207.977386 23.295410 188.620026 0.000000
68.746010 29.783340 307.153900 0.000000
58.066109 7.836320 271.483795 0.000000
52.225861 40.780628 268.851318 0.000000
111.237053 43.237179 211.111847 0.000000
218.715393 44.059940 103.258034 0.000000
142.608795 48.287960 238.211426 0.000000
223.326767 15.041880 127.865509 0.000000
358.949768 28.679029 38.379261 0.000000
177.597580 11.086560 157.955704 0.000000
271.462402 25.306549 46.744259 0.000000
324.351013 39.430988 78.135277 0.000000
245.664490 46.589432 133.956223 0.000000
140.656036 53.499168 229.327652 0.000000
299.282013 45.910980 49.182369 0.000000
304.266541 40.671741 51.478691 0.000000
330.852417 13.867310 58.974110 0.000000
210.313828 17.491079 167.039566 0.000000
263.964172 36.692791 90.040253 0.000000
144.067154 24.210730 196.878494 0.000000
56.928890 53.099258 324.117859 0.000000
111.566307 45.021801 230.169937 0.000000
285.883423 35.646671 106.616730 0.000000
217.346512 54.518768 129.295425 0.000000
337.455475 26.889759 5.042610 0.000000
233.154175 38.746368 143.735504 0.000000
235.827515 42.189789 159.518707 0.000000
176.465393 33.372101 219.768326 0.000000
206.329102 31.895660 149.488541 0.000000
80.171120 28.948700 291.583313 0.000000
4.443800 21.097630 313.636383 0.000000
89.366241 42.012291 237.387253 0.000000
327.752960 31.626350 60.552711 0.000000
213.794312 37.748180 171.275070 0.000000
19.130421 19.824350 15.700040 0.000000
162.753525 19.029711 157.011856 0.000000
210.133804 49.700432 117.761833 0.000000
166.673904 28.199820 189.068756 0.000000
270.542389 44.640171 63.465988 0.000000
308.966705 37.878540 50.575089 0.000000
191.133316 23.753160 206.500626 0.000000
219.754913 39.198959 178.362335 0.000000
97.297371 21.205681 252.332413 0.000000
117.746964 46.852379 242.180847 0.000000
237.288269 40.689331 126.483368 0.000000
50.635899 40.046558 321.617126 0.000000
194.165131 41.883259 140.482025 0.000000
219.435135 15.528730 135.907364 0.000000
346.199982 43.058350 56.664761 0.000000
232.311707 27.665489 102.015106 0.000000
351.275116 39.611671 45.939960 0.000000
235.573837 38.388821 124.915947 0.000000
313.401825 38.620548 43.890228 0.000000
292.781982 43.667160 77.320633 0.000000
339.868805 42.648170 44.892559 0.000000
277.012909 35.318779 62.704651 0.000000
164.428085 33.398232 208.608932 0.000000
86.588608 37.966259 245.792923 0.000000
352.022766 29.688589 329.420898 0.000000
15.313010 40.522751 318.752411 0.000000
281.943329 29.191780 43.374378 0.000000
285.111694 39.550529 112.799622 0.000000
303.345581 32.757679 82.283730 0.000000
9.045860 36.608040 1.663050 0.000000
121.747398 53.915089 221.660736 0.000000
88.508507 34.731499 302.264740 0.000000
257.826447 17.046150 97.196243 0.000000
260.404175 45.472569 137.682114 0.000000
265.729797 43.465340 64.871910 0.000000
240.991516 31.993361 115.115570 0.000000
167.370453 37.154140 171.790085 0.000000
254.580994 36.592339 102.279984 0.000000
168.875977 22.000330 218.746796 0.000000
133.429672 28.082840 253.230896 0.000000
99.272972 23.022900 235.370361 0.000000
340.529114 35.781399 9.546100 0.000000
71.111618 15.231830 305.447174 0.000000
303.438202 31.181219 94.715370 0.000000
109.220253 25.418890 232.362274 0.000000
316.852692 13.308800 23.098160 0.000000
164.346237 31.079500 166.086517 0.000000
49.713871 43.505211 268.532898 0.000000
355.375092 23.327709 12.502900 0.000000
138.573563 39.627460 246.096924 0.000000
178.437775 39.835571 200.339767 0.000000
136.692886 29.989870 237.164719 0.000000
116.361526 24.205160 203.311630 0.000000
257.897919 8.917860 75.244240 0.000000
271.549896 37.042412 65.054527 0.000000
255.972229 12.794940 115.878853 0.000000
299.447693 8.339820 95.350250 0.000000
170.940109 0.849140 222.836563 0.000000
150.441223 38.841648 210.904587 0.000000
61.975910 22.447750 281.159515 0.000000
211.715485 47.319180 158.172806 0.000000
321.331665 14.980600 10.449800 0.000000
250.590637 30.329750 76.014923 0.000000
304.601074 32.504189 28.427891 0.000000
204.635376 40.057678 152.959885 0.000000
242.365967 32.953030 101.320198 0.000000
60.940380 18.553190 324.858856 0.000000
36.476212 43.627380 353.707733 0.000000
78.061546 27.928539 238.801193 0.000000
229.698166 39.241741 93.475983 0.000000
309.127289 28.052071 83.298729 0.000000
86.038116 32.518581 295.761353 0.000000
126.877640 24.801210 231.592804 0.000000
319.741730 55.252781 60.551418 0.000000
104.866577 33.738651 252.377472 0.000000
301.700897 49.723690 34.950909 0.000000
153.647156 24.009550 242.791763 0.000000
37.073509 20.978201 298.416992 0.000000
195.960999 40.815350 131.995163 0.000000
177.674255 20.650999 177.298813 0.000000
43.104210 30.092541 307.762787 0.000000
306.159119 26.482840 49.273029 0.000000
227.339203 54.687721 145.666672 0.000000
168.761826 25.079470 148.420105 0.000000
306.967438 26.470181 54.505959 0.000000
89.814789 14.304700 311.870026 0.000000
175.477737 34.440071 151.112793 0.000000
288.347656 28.006889 108.603142 0.000000
13.198510 31.561069 15.236020 0.000000
137.660019 47.280102 242.134979 0.000000
276.965271 36.622341 73.410103 0.000000
137.782135 45.240761 203.970749 0.000000
50.532341 22.854630 324.750519 0.000000
303.523834 45.658939 32.794029 0.000000
3.913470 14.127260 333.410828 0.000000
290.291718 32.665131 90.220268 0.000000
43.588829 24.646910 278.475067 0.000000
106.320267 38.291210 211.166733 0.000000
314.392517 32.272331 65.556282 0.000000
34.792870 50.558830 318.249664 0.000000
236.154938 18.325260 134.308823 0.000000
231.963043 40.575710 124.244202 0.000000
285.929474 41.228668 98.920479 0.000000
217.169617 18.234091 175.005905 0.000000
125.281464 44.229198 207.390594 0.000000
121.103569 32.340420 233.079529 0.000000
274.679657 29.021219 90.145462 0.000000
44.453289 3.132070 291.233734 0.000000
142.457977 9.740270 209.001236 0.000000
146.395355 55.060421 225.500366 0.000000
128.524536 37.536869 225.258743 0.000000
199.697586 42.139359 146.222473 0.000000
11.402380 40.121941 11.979650 0.000000
272.022583 15.343600 69.461029 0.000000
27.776871 12.613330 313.955170 0.000000
251.709137 43.746922 110.730499 0.000000
307.248932 25.630730 16.834410 0.000000
121.205383 35.976089 223.739395 0.000000
194.021454 34.578709 190.472443 0.000000
115.940224 29.173670 205.229492 0.000000
45.339539 27.718861 345.070221 0.000000
131.186874 33.404999 207.828995 0.000000
208.969391 13.508080 118.461990 0.000000
203.437363 30.155621 122.390709 0.000000
334.596100 42.952141 18.993610 0.000000
335.222687 40.336929 67.588097 0.000000
